# splot [u=0:6.28] (1-sin(u))*cos(u)-0.3, (1-sin(u))*sin(u)+0.2, 3*sin(u) notitle
point0 < 0.700000 0.200000 0.000000 >
point1 < 0.699867 0.200133 0.000399 >
point2 < 0.699734 0.200266 0.000798 >
point3 < 0.699601 0.200399 0.001197 >
point4 < 0.699468 0.200532 0.001596 >
point5 < 0.699335 0.200665 0.001995 >
point6 < 0.699201 0.200798 0.002395 >
point7 < 0.699068 0.200930 0.002794 >
point8 < 0.698935 0.201063 0.003193 >
point9 < 0.698802 0.201196 0.003592 >
point10 < 0.698669 0.201329 0.003991 >
point11 < 0.698536 0.201461 0.004390 >
point12 < 0.698402 0.201594 0.004789 >
point13 < 0.698269 0.201726 0.005188 >
point14 < 0.698136 0.201859 0.005587 >
point15 < 0.698003 0.201991 0.005986 >
point16 < 0.697869 0.202124 0.006385 >
point17 < 0.697736 0.202256 0.006785 >
point18 < 0.697603 0.202389 0.007184 >
point19 < 0.697469 0.202521 0.007583 >
point20 < 0.697336 0.202654 0.007982 >
point21 < 0.697202 0.202786 0.008381 >
point22 < 0.697069 0.202918 0.008780 >
point23 < 0.696936 0.203050 0.009179 >
point24 < 0.696802 0.203183 0.009578 >
point25 < 0.696669 0.203315 0.009977 >
point26 < 0.696535 0.203447 0.010376 >
point27 < 0.696402 0.203579 0.010775 >
point28 < 0.696268 0.203711 0.011175 >
point29 < 0.696135 0.203843 0.011574 >
point30 < 0.696001 0.203975 0.011973 >
point31 < 0.695868 0.204107 0.012372 >
point32 < 0.695734 0.204239 0.012771 >
point33 < 0.695600 0.204371 0.013170 >
point34 < 0.695467 0.204503 0.013569 >
point35 < 0.695333 0.204634 0.013968 >
point36 < 0.695199 0.204766 0.014367 >
point37 < 0.695066 0.204898 0.014766 >
point38 < 0.694932 0.205030 0.015165 >
point39 < 0.694798 0.205161 0.015565 >
point40 < 0.694665 0.205293 0.015964 >
point41 < 0.694531 0.205424 0.016363 >
point42 < 0.694397 0.205556 0.016762 >
point43 < 0.694263 0.205688 0.017161 >
point44 < 0.694130 0.205819 0.017560 >
point45 < 0.693996 0.205951 0.017959 >
point46 < 0.693862 0.206082 0.018358 >
point47 < 0.693728 0.206213 0.018757 >
point48 < 0.693594 0.206345 0.019156 >
point49 < 0.693460 0.206476 0.019555 >
point50 < 0.693327 0.206607 0.019954 >
point51 < 0.693193 0.206738 0.020354 >
point52 < 0.693059 0.206870 0.020753 >
point53 < 0.692925 0.207001 0.021152 >
point54 < 0.692791 0.207132 0.021551 >
point55 < 0.692657 0.207263 0.021950 >
point56 < 0.692523 0.207394 0.022349 >
point57 < 0.692389 0.207525 0.022748 >
point58 < 0.692255 0.207656 0.023147 >
point59 < 0.692121 0.207787 0.023546 >
point60 < 0.691987 0.207918 0.023945 >
point61 < 0.691853 0.208049 0.024344 >
point62 < 0.691718 0.208180 0.024743 >
point63 < 0.691584 0.208311 0.025143 >
point64 < 0.691450 0.208441 0.025542 >
point65 < 0.691316 0.208572 0.025941 >
point66 < 0.691182 0.208703 0.026340 >
point67 < 0.691048 0.208834 0.026739 >
point68 < 0.690913 0.208964 0.027138 >
point69 < 0.690779 0.209095 0.027537 >
point70 < 0.690645 0.209225 0.027936 >
point71 < 0.690511 0.209356 0.028335 >
point72 < 0.690376 0.209486 0.028734 >
point73 < 0.690242 0.209617 0.029133 >
point74 < 0.690108 0.209747 0.029532 >
point75 < 0.689974 0.209878 0.029931 >
point76 < 0.689839 0.210008 0.030331 >
point77 < 0.689705 0.210138 0.030730 >
point78 < 0.689570 0.210269 0.031129 >
point79 < 0.689436 0.210399 0.031528 >
point80 < 0.689302 0.210529 0.031927 >
point81 < 0.689167 0.210659 0.032326 >
point82 < 0.689033 0.210789 0.032725 >
point83 < 0.688898 0.210919 0.033124 >
point84 < 0.688764 0.211050 0.033523 >
point85 < 0.688629 0.211180 0.033922 >
point86 < 0.688495 0.211310 0.034321 >
point87 < 0.688360 0.211439 0.034720 >
point88 < 0.688226 0.211569 0.035119 >
point89 < 0.688091 0.211699 0.035518 >
point90 < 0.687957 0.211829 0.035918 >
point91 < 0.687822 0.211959 0.036317 >
point92 < 0.687687 0.212089 0.036716 >
point93 < 0.687553 0.212219 0.037115 >
point94 < 0.687418 0.212348 0.037514 >
point95 < 0.687284 0.212478 0.037913 >
point96 < 0.687149 0.212608 0.038312 >
point97 < 0.687014 0.212737 0.038711 >
point98 < 0.686879 0.212867 0.039110 >
point99 < 0.686745 0.212996 0.039509 >
point100 < 0.686610 0.213126 0.039908 >
point101 < 0.686475 0.213255 0.040307 >
point102 < 0.686340 0.213385 0.040706 >
point103 < 0.686206 0.213514 0.041105 >
point104 < 0.686071 0.213643 0.041504 >
point105 < 0.685936 0.213773 0.041903 >
point106 < 0.685801 0.213902 0.042302 >
point107 < 0.685666 0.214031 0.042701 >
point108 < 0.685531 0.214160 0.043101 >
point109 < 0.685397 0.214290 0.043500 >
point110 < 0.685262 0.214419 0.043899 >
point111 < 0.685127 0.214548 0.044298 >
point112 < 0.684992 0.214677 0.044697 >
point113 < 0.684857 0.214806 0.045096 >
point114 < 0.684722 0.214935 0.045495 >
point115 < 0.684587 0.215064 0.045894 >
point116 < 0.684452 0.215193 0.046293 >
point117 < 0.684317 0.215322 0.046692 >
point118 < 0.684182 0.215451 0.047091 >
point119 < 0.684047 0.215579 0.047490 >
point120 < 0.683912 0.215708 0.047889 >
point121 < 0.683776 0.215837 0.048288 >
point122 < 0.683641 0.215966 0.048687 >
point123 < 0.683506 0.216094 0.049086 >
point124 < 0.683371 0.216223 0.049485 >
point125 < 0.683236 0.216352 0.049884 >
point126 < 0.683101 0.216480 0.050283 >
point127 < 0.682966 0.216609 0.050682 >
point128 < 0.682830 0.216737 0.051081 >
point129 < 0.682695 0.216866 0.051480 >
point130 < 0.682560 0.216994 0.051879 >
point131 < 0.682425 0.217123 0.052279 >
point132 < 0.682289 0.217251 0.052678 >
point133 < 0.682154 0.217379 0.053077 >
point134 < 0.682019 0.217507 0.053476 >
point135 < 0.681883 0.217636 0.053875 >
point136 < 0.681748 0.217764 0.054274 >
point137 < 0.681613 0.217892 0.054673 >
point138 < 0.681477 0.218020 0.055072 >
point139 < 0.681342 0.218148 0.055471 >
point140 < 0.681207 0.218276 0.055870 >
point141 < 0.681071 0.218404 0.056269 >
point142 < 0.680936 0.218532 0.056668 >
point143 < 0.680800 0.218660 0.057067 >
point144 < 0.680665 0.218788 0.057466 >
point145 < 0.680529 0.218916 0.057865 >
point146 < 0.680394 0.219044 0.058264 >
point147 < 0.680258 0.219172 0.058663 >
point148 < 0.680123 0.219300 0.059062 >
point149 < 0.679987 0.219427 0.059461 >
point150 < 0.679852 0.219555 0.059860 >
point151 < 0.679716 0.219683 0.060259 >
point152 < 0.679580 0.219811 0.060658 >
point153 < 0.679445 0.219938 0.061057 >
point154 < 0.679309 0.220066 0.061456 >
point155 < 0.679173 0.220193 0.061855 >
point156 < 0.679038 0.220321 0.062254 >
point157 < 0.678902 0.220448 0.062653 >
point158 < 0.678766 0.220576 0.063052 >
point159 < 0.678631 0.220703 0.063451 >
point160 < 0.678495 0.220830 0.063850 >
point161 < 0.678359 0.220958 0.064249 >
point162 < 0.678223 0.221085 0.064648 >
point163 < 0.678088 0.221212 0.065047 >
point164 < 0.677952 0.221339 0.065446 >
point165 < 0.677816 0.221467 0.065845 >
point166 < 0.677680 0.221594 0.066244 >
point167 < 0.677544 0.221721 0.066643 >
point168 < 0.677409 0.221848 0.067042 >
point169 < 0.677273 0.221975 0.067441 >
point170 < 0.677137 0.222102 0.067840 >
point171 < 0.677001 0.222229 0.068239 >
point172 < 0.676865 0.222356 0.068638 >
point173 < 0.676729 0.222483 0.069037 >
point174 < 0.676593 0.222610 0.069436 >
point175 < 0.676457 0.222736 0.069835 >
point176 < 0.676321 0.222863 0.070234 >
point177 < 0.676185 0.222990 0.070633 >
point178 < 0.676049 0.223117 0.071032 >
point179 < 0.675913 0.223243 0.071431 >
point180 < 0.675777 0.223370 0.071830 >
point181 < 0.675641 0.223497 0.072229 >
point182 < 0.675505 0.223623 0.072628 >
point183 < 0.675369 0.223750 0.073027 >
point184 < 0.675233 0.223876 0.073426 >
point185 < 0.675096 0.224003 0.073825 >
point186 < 0.674960 0.224129 0.074224 >
point187 < 0.674824 0.224255 0.074623 >
point188 < 0.674688 0.224382 0.075022 >
point189 < 0.674552 0.224508 0.075421 >
point190 < 0.674415 0.224634 0.075820 >
point191 < 0.674279 0.224761 0.076219 >
point192 < 0.674143 0.224887 0.076618 >
point193 < 0.674007 0.225013 0.077016 >
point194 < 0.673870 0.225139 0.077415 >
point195 < 0.673734 0.225265 0.077814 >
point196 < 0.673598 0.225391 0.078213 >
point197 < 0.673462 0.225517 0.078612 >
point198 < 0.673325 0.225643 0.079011 >
point199 < 0.673189 0.225769 0.079410 >
point200 < 0.673052 0.225895 0.079809 >
point201 < 0.672916 0.226021 0.080208 >
point202 < 0.672780 0.226147 0.080607 >
point203 < 0.672643 0.226273 0.081006 >
point204 < 0.672507 0.226399 0.081405 >
point205 < 0.672370 0.226524 0.081804 >
point206 < 0.672234 0.226650 0.082203 >
point207 < 0.672097 0.226776 0.082602 >
point208 < 0.671961 0.226901 0.083001 >
point209 < 0.671824 0.227027 0.083400 >
point210 < 0.671688 0.227153 0.083799 >
point211 < 0.671551 0.227278 0.084198 >
point212 < 0.671415 0.227404 0.084596 >
point213 < 0.671278 0.227529 0.084995 >
point214 < 0.671142 0.227655 0.085394 >
point215 < 0.671005 0.227780 0.085793 >
point216 < 0.670868 0.227905 0.086192 >
point217 < 0.670732 0.228031 0.086591 >
point218 < 0.670595 0.228156 0.086990 >
point219 < 0.670458 0.228281 0.087389 >
point220 < 0.670322 0.228406 0.087788 >
point221 < 0.670185 0.228532 0.088187 >
point222 < 0.670048 0.228657 0.088586 >
point223 < 0.669911 0.228782 0.088985 >
point224 < 0.669775 0.228907 0.089384 >
point225 < 0.669638 0.229032 0.089782 >
point226 < 0.669501 0.229157 0.090181 >
point227 < 0.669364 0.229282 0.090580 >
point228 < 0.669228 0.229407 0.090979 >
point229 < 0.669091 0.229532 0.091378 >
point230 < 0.668954 0.229656 0.091777 >
point231 < 0.668817 0.229781 0.092176 >
point232 < 0.668680 0.229906 0.092575 >
point233 < 0.668543 0.230031 0.092974 >
point234 < 0.668406 0.230156 0.093373 >
point235 < 0.668269 0.230280 0.093772 >
