     545 149.53  70.77   2.22
     561 148.66  70.10   2.17
    1502 171.57  59.45   2.36
    1637 170.60  59.06   2.04
    2246 153.43  70.26   2.22
    2784 170.43  59.82   2.38
    3472 148.86  70.62   2.27
    3579 170.04  70.95   2.15
    4466 171.66  71.00   2.23
    5050 159.57  69.32   2.16
    5175 170.58  59.07   2.30
    6114 148.60  70.00   2.24
    6502 171.21  61.51   2.12
    7183 170.05  59.90   2.32
    7781 148.63  70.22   2.34
    8619 170.38  61.76   2.26
    8701 149.59  69.01   2.43
    9234 170.30  64.70   2.37
    9474 148.23  70.83   2.50
   10468 148.54  67.27   2.13
   11361 169.33  66.38   2.02
   11607 150.49  70.40   2.46
   12210 167.60  61.95   2.37
   12705 171.15  59.17   2.11
   12832 153.83  64.95   2.16
   13194 148.68  59.77   2.34
   13590 170.50  61.48   2.50
   14525 170.96  60.69   2.05
   14842 148.47  70.83   1.98
   15594 167.23  59.27   2.39
   15656 170.29  70.36   2.31
   15885 151.91  59.20   2.51
   15995 171.80  70.43   2.01
   16313 148.14  65.44   2.35
   17107 148.46  69.24   2.22
   17216 170.55  66.88   2.10
   18079 156.21  69.53   2.14
   18858 170.16  70.43   2.37
   19619 172.00  70.26   2.53
   20453 170.30  70.87   2.26
   21076 170.58  59.60   2.02
   21108 149.62  70.03   2.24
   22004 170.69  70.15   1.99
   22031 166.01  59.83   2.00
   22690 170.70  63.55   2.21
   22988 159.86  59.41   2.12
   23603 171.79  70.09   2.53
   23734 149.13  66.45   2.32
   24508 148.40  60.58   2.04
   24605 171.55  70.38   2.38
   24729 171.75  59.71   1.99
   25058 165.90  60.75   2.47
   25085 171.72  70.33   1.97
   25337 171.46  70.80   2.06
   26319 149.91  68.14   2.15
   26389 171.73  68.46   2.38
   26436 149.23  59.87   2.42
   26985 161.19  70.48   2.23
   27362 170.99  61.00   2.13
   27850 170.91  66.95   2.26
   28217 148.25  70.90   2.35
   28490 171.30  63.84   2.49
   28679 148.02  69.96   2.48
   29481 149.77  68.07   2.04
   30417 170.51  59.99   2.40
   30956 170.52  65.21   2.35
   31781 171.67  69.78   2.15
   32249 149.60  59.90   2.35
   32694 157.37  59.63   2.28
   33349 149.99  70.92   2.33
   34175 171.36  69.09   2.47
   34993 170.39  70.15   2.46
   35536 148.02  59.16   2.24
   36056 170.22  70.74   2.34
   36730 154.12  70.78   2.07
   37072 171.32  59.28   2.45
   37182 171.63  59.04   2.21
   37748 148.44  70.57   2.05
   38508 149.13  69.67   1.99
   39005 170.32  59.03   2.39
   39543 171.44  70.93   2.50
   39802 155.17  59.16   2.44
   40129 149.03  59.45   1.98
   40615 171.11  59.64   1.99
   41570 148.21  59.91   2.21
   41772 171.05  63.89   2.50
   42729 149.57  59.46   2.12
   42892 149.53  59.77   2.43
   43312 149.52  60.81   2.53
   43653 170.48  59.86   2.13
   44371 157.08  59.95   2.20
   44766 170.03  70.74   2.47
   45011 148.62  65.05   2.20
   45324 171.42  70.98   2.26
   45679 170.84  70.20   2.35
   46117 148.52  67.21   2.30
   46584 149.74  59.94   2.07
   46982 170.47  59.82   2.31
   47973 149.21  70.49   2.27
   48109 149.03  70.50   2.18
   48925 170.50  59.42   2.16
   49004 170.92  67.63   2.26
   49812 165.01  59.49   2.38
   50462 149.77  66.30   2.13
   51220 149.23  59.51   2.09
   52079 168.23  70.40   2.28
   52372 149.63  70.17   2.23
   52915 170.86  70.99   2.09
   53505 171.21  70.22   2.41
   53575 159.38  59.27   2.17
   54292 170.97  67.81   2.45
